product_id,title,condition,resale_price,location
L0283,Lenovo Ideapad 320-15IKBN 6GB Used good condition,Used,289.5,Chennai
L0410,Lenovo ThinkPad P51 8GB Used good condition,Used,962.5,Bangalore
L0583,Dell Latitude 5580 16GB Like New good condition,Like New,1229.91,Bangalore
L0407,Dell Latitude 7480 8GB Like New good condition,Like New,1344.0,Bangalore
L0509,Lenovo Legion Y520-15IKBN 8GB Like New good condition,Like New,919.2,Bangalore
L0905,LG Gram 15Z970 16GB Like New good condition,Like New,1679.2,Chennai
L0375,HP 15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10) 4GB Like New good condition,Like New,391.19,Mumbai
L0490,Lenovo Thinkpad E570 8GB Used good condition,Used,506.0,Chennai
L0063,Asus UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10) 8GB Like New good condition,Like New,752.8,Chennai
L0416,Dell Latitude 3380 4GB Used good condition,Used,344.5,Bangalore
L0990,HP EliteBook Folio 8GB Used good condition,Used,954.0,Hyderabad
L0323,HP ProBook 450 8GB Used good condition,Used,451.0,Mumbai
L0233,Dell Vostro 5468 8GB Like New good condition,Like New,687.2,Mumbai
L0388,Dell Precision 5520 8GB Refurbished good condition,Refurbished,1387.75,Bangalore
L0698,Toshiba Portege Z30T-C-133 16GB Refurbished good condition,Refurbished,1220.05,Bangalore
L0302,Lenovo IdeaPad 320-17IKB 6GB Like New good condition,Like New,519.2,Mumbai
L0273,Lenovo ThinkPad X1 16GB Used good condition,Used,1249.5,Hyderabad
L1273,HP 15-AC110nv (i7-6500U/6GB/1TB/Radeon 6GB Used good condition,Used,382.0,Hyderabad
L0797,Dell Latitude 3580 8GB Used good condition,Used,405.0,Mumbai
L0714,Dell Latitude 5580 16GB Refurbished good condition,Refurbished,927.33,Bangalore
L0197,HP ProBook 430 8GB Used good condition,Used,479.5,Bangalore
L0526,Lenovo IdeaPad 320-15IKB 4GB Like New good condition,Like New,639.2,Bangalore
L0743,Lenovo Flex 5 8GB Like New good condition,Like New,799.2,Bangalore
L0987,Lenovo Legion Y520-15IKBN 8GB Like New good condition,Like New,951.2,Chennai
L0559,Dell Vostro 3568 4GB Used good condition,Used,308.95,Chennai
L0194,Dell Inspiron 5379 8GB Like New good condition,Like New,671.2,Hyderabad
L1144,HP Spectre Pro 8GB Like New good condition,Like New,1439.2,Mumbai
L0100,HP 15-bs017nv (i7-7500U/8GB/256GB/Radeon 8GB Refurbished good condition,Refurbished,467.35,Hyderabad
L0114,Dell XPS 13 8GB Used good condition,Used,814.5,Hyderabad
L1159,HP Spectre Pro 8GB Used good condition,Used,1020.5,Mumbai
L0147,Asus X541NA (N3350/4GB/1TB/FHD/W10) 4GB Used good condition,Used,172.0,Bangalore
L0336,Dell Inspiron 7570 8GB Used good condition,Used,524.5,Hyderabad
L0159,Toshiba Satellite Pro 4GB Like New good condition,Like New,357.6,Chennai
L0584,Dell Chromebook 11 4GB Used good condition,Used,147.5,Hyderabad
L0886,Dell Vostro 3568 4GB Used good condition,Used,227.85,Mumbai
L1041,Vero V142 (X5-Z8350/2GB/32GB/W10) 2GB Like New good condition,Like New,168.64,Hyderabad
L0963,Toshiba Portege X20W-D-10V 8GB Used good condition,Used,895.0,Hyderabad
L0791,Vero K146 (N3350/4GB/32GB/W10) 4GB Used good condition,Used,101.45,Hyderabad
L0802,Dell XPS 13 8GB Refurbished good condition,Refurbished,974.35,Mumbai
L1186,Dell Inspiron 5578 16GB Refurbished good condition,Refurbished,766.35,Hyderabad
L0612,Dell Vostro 3568 4GB Refurbished good condition,Refurbished,288.53,Chennai
L0994,Dell Inspiron 5378 8GB Used good condition,Used,444.5,Chennai
L0538,HP Omen 15-ce006nv 12GB Used good condition,Used,899.5,Chennai
L0531,Toshiba Satellite Pro 8GB Like New good condition,Like New,688.0,Bangalore
L1044,HP EliteBook 840 4GB Refurbished good condition,Refurbished,650.0,Chennai
L1151,HP 15-BA015wm (E2-7110/4GB/500GB/W10) 4GB Like New good condition,Like New,237.6,Chennai
L0405,Asus Zenbook 3 8GB Like New good condition,Like New,1498.4,Mumbai
L1254,Dell Inspiron 3552 4GB Like New good condition,Like New,355.19,Hyderabad
L0314,Asus VivoBook Flip 2GB Like New good condition,Like New,220.0,Hyderabad
L0601,HP ProBook 450 4GB Used good condition,Used,334.24,Bangalore
L1111,Dell Vostro 3559 4GB Refurbished good condition,Refurbished,499.95,Mumbai
L0442,Lenovo ThinkPad X270 8GB Like New good condition,Like New,1143.2,Hyderabad
L0631,Dell Inspiron 7567 16GB Used good condition,Used,739.5,Bangalore
L0835,Dell Alienware 15 16GB Refurbished good condition,Refurbished,1803.51,Mumbai
L0485,Lenovo ThinkPad E480 8GB Used good condition,Used,524.5,Hyderabad
L0354,Toshiba Tecra A50-C-21G 16GB Like New good condition,Like New,1122.4,Mumbai
L1064,MSI GS63VR 6RF 16GB Used good condition,Used,964.5,Hyderabad
L0642,Lenovo ThinkPad X1 16GB Like New good condition,Like New,1960.0,Hyderabad
L1288,Asus X553SA-XX031T (N3050/4GB/500GB/W10) 4GB Refurbished good condition,Refurbished,239.85,Hyderabad
L0598,Dell Latitude 5289 8GB Like New good condition,Like New,1336.0,Chennai
L0967,HP ProBook 450 4GB Used good condition,Used,342.5,Hyderabad
L1048,Lenovo IdeaPad Y900-17ISK 16GB Refurbished good condition,Refurbished,1488.49,Chennai
L0622,Dell Inspiron 5570 4GB Like New good condition,Like New,620.8,Mumbai
L0072,Dell Inspiron 5570 8GB Refurbished good condition,Refurbished,565.5,Hyderabad
L0234,Acer Aspire R7 8GB Like New good condition,Like New,551.2,Hyderabad
L0209,Lenovo IdeaPad 320-15IKBN 8GB Refurbished good condition,Refurbished,388.05,Hyderabad
L1082,Lenovo Yoga Book 4GB Used good condition,Used,323.13,Bangalore
L0596,Lenovo ThinkPad Yoga 8GB Used good condition,Used,1012.5,Bangalore
L0653,MSI GL62M 7REX 8GB Used good condition,Used,595.9,Mumbai
L0697,Asus Chromebook Flip 4GB Refurbished good condition,Refurbished,434.85,Chennai
L0461,Acer TravelMate B 4GB Refurbished good condition,Refurbished,282.75,Chennai
L0996,HP Spectre 13-V111dx 8GB Used good condition,Used,674.5,Chennai
L1214,Asus ROG Strix 16GB Like New good condition,Like New,1559.2,Mumbai
L1256,Asus Rog G752VT-GC073T 16GB Used good condition,Used,950.0,Chennai
L0447,Dell Precision 3520 8GB Used good condition,Used,996.5,Hyderabad
L0218,Dell Latitude 5490 8GB Like New good condition,Like New,919.2,Mumbai
L0403,Acer Aspire 7 8GB Like New good condition,Like New,703.2,Mumbai
L1270,Lenovo Yoga 500-14ISK 4GB Refurbished good condition,Refurbished,414.7,Mumbai
L0897,HP ProBook 450 8GB Refurbished good condition,Refurbished,585.0,Bangalore
L0286,Lenovo Thinkpad T570 8GB Like New good condition,Like New,877.6,Mumbai
L0805,HP EliteBook 820 8GB Refurbished good condition,Refurbished,902.85,Bangalore
L0481,Dell Vostro 3568 4GB Refurbished good condition,Refurbished,381.29,Bangalore
L1166,Lenovo ThinkPad T570 8GB Refurbished good condition,Refurbished,903.5,Chennai
L1164,HP 250 G4 4GB Used good condition,Used,238.5,Chennai
L0691,Lenovo IdeaPad 520s-14IKB 4GB Like New good condition,Like New,559.2,Mumbai
L0851,Asus Rog GL502VM-DS74 16GB Like New good condition,Like New,1519.2,Mumbai
L1152,Lenovo B51-80 (i5-6200U/8GB/1TB/Radeon 8GB Used good condition,Used,299.5,Hyderabad
L0401,Asus FX753VD-GC461T (i7-7700HQ/16GB/1TB 16GB Like New good condition,Like New,1223.2,Chennai
L0223,HP ProBook 450 8GB Like New good condition,Like New,635.2,Mumbai
L0045,Apple MacBook Pro 8GB Like New good condition,Like New,1135.2,Bangalore
L0537,HP 250 G6 4GB Used good condition,Used,199.5,Hyderabad
L0706,Acer Spin 5 8GB Refurbished good condition,Refurbished,649.35,Hyderabad
L0500,Asus VivoBook E201NA 4GB Refurbished good condition,Refurbished,221.0,Mumbai
L0265,Dell Inspiron 5579 8GB Used good condition,Used,399.5,Chennai
L0983,Fujitsu LifeBook A556 4GB Like New good condition,Like New,519.2,Chennai
L0547,Lenovo V310-15ISK (i5-6200U/4GB/1TB/FHD/No 4GB Refurbished good condition,Refurbished,300.53,Mumbai
L0535,Dell Latitude 5580 8GB Used good condition,Used,684.5,Mumbai
L0312,MSI GE63VR 7RF 16GB Like New good condition,Like New,1679.2,Hyderabad
L1183,Acer Aspire 3 4GB Used good condition,Used,166.5,Mumbai
L0527,Lenovo IdeaPad 320-15ISK 8GB Used good condition,Used,229.5,Bangalore
L1212,MSI GS73VR Stealth 16GB Refurbished good condition,Refurbished,1266.84,Mumbai
L0529,Dell Latitude 5580 8GB Refurbished good condition,Refurbished,895.05,Chennai
L0875,Dell Latitude 7280 8GB Like New good condition,Like New,1352.0,Hyderabad
L0313,Acer ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10) 8GB Refurbished good condition,Refurbished,304.85,Chennai
L0034,Apple MacBook Air 8GB Used good condition,Used,499.0,Bangalore
L0794,"Apple MacBook 12"" 8GB Used good condition",Used,582.5,Bangalore
L1003,HP Probook 440 4GB Used good condition,Used,389.5,Chennai
L0374,Dell Inspiron 5379 8GB Like New good condition,Like New,695.21,Bangalore
L0369,HP Elitebook 1040 8GB Used good condition,Used,875.0,Mumbai
L0055,Dell Inspiron 3576 8GB Used good condition,Used,383.9,Mumbai
