SKU,product_id,title,condition,resale_price,location,Brand,Manufacturing_Cost,Warranty_Failures
thinkpad e480,L0485,lenovo thinkpad e480 8gb used good condition,Used,524.5,Hyderabad,,,
latitude 3380,L0416,dell latitude 3380 4gb used good condition,Used,344.5,Bangalore,,,
latitude 7480,L0407,dell latitude 7480 8gb like new good condition,Like New,1344.0,Bangalore,,,
latitude 7480,L0938,dell latitude 7480 8gb refurbished good condition,Refurbished,1065.35,Mumbai,,,
latitude 5490,L0218,dell latitude 5490 8gb like new good condition,Like New,919.2,Mumbai,,,
latitude 7280,L0875,dell latitude 7280 8gb like new good condition,Like New,1352.0,Hyderabad,,,
elitebook 1040,L0369,hp elitebook 1040 8gb used good condition,Used,875.0,Mumbai,,,
elitebook 850,L0624,hp elitebook 850 4gb used good condition,Used,466.0,Chennai,,,
thinkpad p51,L0410,lenovo thinkpad p51 8gb used good condition,Used,962.5,Bangalore,,,
thinkpad p51,L0610,lenovo thinkpad p51 32gb used good condition,Used,2449.5,Mumbai,,,
thinkpad l570,L0870,lenovo thinkpad l570 4gb refurbished good condition,Refurbished,685.75,Mumbai,,,
elitebook 840,L1044,hp elitebook 840 4gb refurbished good condition,Refurbished,650.0,Chennai,HP,950,18
thinkpad x1,L0642,lenovo thinkpad x1 16gb like new good condition,Like New,1960.0,Hyderabad,,,
thinkpad x1,L0273,lenovo thinkpad x1 16gb used good condition,Used,1249.5,Hyderabad,,,
thinkpad t570,L1166,lenovo thinkpad t570 8gb refurbished good condition,Refurbished,903.5,Chennai,,,
thinkpad t570,L0433,lenovo thinkpad t570 16gb refurbished good condition,Refurbished,1589.25,Hyderabad,,,
thinkpad t570,L0286,lenovo thinkpad t570 8gb like new good condition,Like New,877.6,Mumbai,,,
latitude 3580,L0797,dell latitude 3580 8gb used good condition,Used,405.0,Mumbai,,,
thinkpad t470s,L0438,lenovo thinkpad t470s 24gb used good condition,Used,1191.0,Chennai,,,
latitude 5289,L0598,dell latitude 5289 8gb like new good condition,Like New,1336.0,Chennai,,,
thinkpad yoga,L0867,lenovo thinkpad yoga 8gb like new good condition,Like New,1560.0,Chennai,,,
thinkpad yoga,L0596,lenovo thinkpad yoga 8gb used good condition,Used,1012.5,Bangalore,,,
thinkpad x270,L0442,lenovo thinkpad x270 8gb like new good condition,Like New,1143.2,Hyderabad,,,
thinkpad e570,L0490,lenovo thinkpad e570 8gb used good condition,Used,506.0,Chennai,,,
latitude 5580,L0899,dell latitude 5580 8gb like new good condition,Like New,748.0,Mumbai,,,
latitude 5580,L0529,dell latitude 5580 8gb refurbished good condition,Refurbished,895.05,Chennai,,,
latitude 5580,L0714,dell latitude 5580 16gb refurbished good condition,Refurbished,927.33,Bangalore,,,
latitude 5580,L0535,dell latitude 5580 8gb used good condition,Used,684.5,Mumbai,,,
latitude 5580,L0583,dell latitude 5580 16gb like new good condition,Like New,1229.91,Bangalore,,,
elitebook 820,L1025,hp elitebook 820 4gb like new good condition,Like New,1247.2,Bangalore,,,
elitebook 820,L1011,hp elitebook 820 4gb like new good condition,Like New,1231.2,Hyderabad,,,
elitebook 820,L0805,hp elitebook 820 8gb refurbished good condition,Refurbished,902.85,Bangalore,,,
